StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Demographic_Q1,Demographic_Q2,Demographic_Q3,Demographic_Q4,Demographic_Q5,Demographic_Q6,WHO_Q1,WHO_Q2,WHO_Q3,WHO_Q4,WHO_Q5,PEB_Q1,PEB_Q2,PEB_Q3,PEB_Q4,PEB_Q5,PEB_Q6,PEB_Q7,PEB_Q8,PEB_Q9,PEB_Q10,PEB_Q11,PEB_Q12,PEB_Q13,NR_Q1,NR_Q2,NR_Q3,NR_Q4,NR_Q5,NR_Q6,NR_Q7,NR_Q8,NR_Q9,NR_Q10,NR_Q11,NR_Q12,NR_Q13,NR_Q14,NR_Q15,NR_Q16,NR_Q17,NR_Q18,NR_Q19,NR_Q20,NR_Q21
29/11/2023 14:13,29/11/2023 14:17,100,265,TRUE,29/11/2023 14:17,R_eKIqjsE5UHwrwMp,26,Woman,Small city or town,Employed,2,Over 6 hours,Most of the time,More than half of the time,Less than half of the time,Some of the time,Most of the time,Rarely,Rarely,Occasionally,Never,Rarely,Never,Never,Occasionally,Never,Never,Very often,Often,Often,Neither agree nor disagree,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Agree a little
29/11/2023 14:17,29/11/2023 14:22,100,320,TRUE,29/11/2023 14:22,R_2rnZIMb7DWKS2hn,37,Woman,Small city or town,Employed,3,2 hours,More than half of the time,More than half of the time,More than half of the time,More than half of the time,More than half of the time,Rarely,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,Rarely,Often,Occasionally,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Neither agree nor disagree
29/11/2023 15:35,29/11/2023 15:41,100,316,TRUE,29/11/2023 15:41,R_1q9DWDyZClQFJOQ,25,Man,Rural area,Student,2,Over 6 hours,More than half of the time,More than half of the time,Most of the time,More than half of the time,More than half of the time,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Never,Very often,Occasionally,Occasionally,Agree strongly,Disagree strongly,Disagree strongly,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree a little,Agree a little
30/11/2023 11:34,30/11/2023 11:39,100,278,TRUE,30/11/2023 11:39,R_1E6wOim6D32s8Yt,18,Woman,Rural area,Student,6,Up to 2 hours,Some of the time,Less than half of the time,Some of the time,At no time,More than half of the time,Never,Never,Never,Never,Never,Rarely,Occasionally,Often,Never,Rarely,Often,Occasionally,Occasionally,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree a little,,Agree a little,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree
30/11/2023 18:24,30/11/2023 18:30,100,371,TRUE,30/11/2023 18:30,R_3gZAphjUelEDoNf,21,Woman,Large city,Student,,5 hours,Some of the time,Some of the time,Less than half of the time,More than half of the time,Some of the time,Never,Never,Often,Never,Often,Rarely,Rarely,Rarely,Never,Never,Very often,Often,Often,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree a little,Agree a little
30/11/2023 18:32,30/11/2023 18:37,100,272,TRUE,30/11/2023 18:37,R_blKmmbCI011LijD,18,Woman,Large city,Student,3,Over 6 hours,More than half of the time,More than half of the time,More than half of the time,More than half of the time,Most of the time,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Often,Often,Often,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Agree a little
01/12/2023 01:59,01/12/2023 02:03,100,252,TRUE,01/12/2023 02:03,R_2qsiYbrrVTUmOPU,18,Woman,Large city,Student,3,Over 6 hours,More than half of the time,More than half of the time,Less than half of the time,Some of the time,Most of the time,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Very often,Occasionally,Occasionally,Disagree strongly,Disagree a little,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Agree a little,Agree a little
01/12/2023 08:28,01/12/2023 08:33,100,257,TRUE,01/12/2023 08:33,R_27rOSW6MON2NEYY,18,Woman,Large city,Student,1,2 hours,More than half of the time,Less than half of the time,Some of the time,At no time,Most of the time,Rarely,Never,Occasionally,Never,Rarely,Never,Occasionally,Never,Never,Never,Often,Occasionally,Often,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Neither agree nor disagree
01/12/2023 11:04,01/12/2023 11:07,100,178,TRUE,01/12/2023 11:07,R_1LYiktpLPdQvjdb,19,Woman,Rural area,Student,3,Over 6 hours,Less than half of the time,Some of the time,More than half of the time,At no time,Some of the time,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Often,Rarely,Often,Very often,Very often,Very often,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Agree a little
01/12/2023 12:36,01/12/2023 12:41,100,271,TRUE,01/12/2023 12:41,R_2WUO3plZK2M45Xk,20,Woman,Large city,Student,2,Over 6 hours,Less than half of the time,Some of the time,Less than half of the time,Some of the time,More than half of the time,Occasionally,Occasionally,Rarely,Occasionally,Never,Often,Often,Very often,Often,Never,Often,Often,Very often,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Agree strongly
06/12/2023 10:31,06/12/2023 10:41,100,568,TRUE,06/12/2023 10:41,R_bD61rmcarwLdQPf,43,Woman,Large city,Student,1,3 hours,Some of the time,Some of the time,Less than half of the time,Most of the time,Some of the time,Occasionally,Rarely,Occasionally,Never,Occasionally,Often,Occasionally,Never,Rarely,Never,Very often,Very often,Very often,Disagree a little,Disagree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly
30/11/2023 09:04,30/11/2023 09:18,94,811,FALSE,07/12/2023 09:18,R_2cjD2UyWCeAbEWh,35,Woman,Suburb near a large city,Employed,1,2 hours,Less than half of the time,Less than half of the time,Less than half of the time,Less than half of the time,More than half of the time,Rarely,Never,Often,Never,Occasionally,Rarely,Occasionally,Often,Never,Never,Very often,Often,Often,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree a little,Agree a little,Agree a little
07/12/2023 18:57,07/12/2023 19:03,100,371,TRUE,07/12/2023 19:03,R_SZ4eitdFss1Tgsx,34,Woman,Large city,Employed,3,Over 6 hours,Less than half of the time,More than half of the time,Some of the time,Less than half of the time,Less than half of the time,Never,Never,Rarely,Never,Rarely,Never,Often,Never,Never,Never,Very often,Very often,Often,Agree a little,Disagree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11/12/2023 15:20,11/12/2023 15:34,100,840,TRUE,11/12/2023 15:34,R_1qX80m4VCFCWLKt,36,Man,Small city or town,Other,3,Over 6 hours,Some of the time,More than half of the time,At no time,Some of the time,Some of the time,Never,Never,Rarely,Never,Never,Rarely,Rarely,Often,Never,Rarely,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Disagree a little,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little
11/12/2023 15:45,11/12/2023 15:49,100,206,TRUE,11/12/2023 15:49,R_1CIltETh3iegTNh,46,Man,Small city or town,Employed,,5 hours,Less than half of the time,Less than half of the time,Some of the time,At no time,More than half of the time,Rarely,Rarely,Occasionally,Never,Occasionally,Rarely,Often,Rarely,Never,Occasionally,Often,Occasionally,Occasionally,Neither agree nor disagree,Disagree strongly,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree
11/12/2023 15:38,11/12/2023 15:58,100,1174,TRUE,11/12/2023 15:58,R_1EZMI2M3UiR2LSl,51,Man,Small city or town,Business owner,5,Over 6 hours,More than half of the time,Most of the time,Most of the time,More than half of the time,All the time,Rarely,Never,Occasionally,Never,Never,Occasionally,Occasionally,Often,Never,Never,Very often,Very often,Often,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly
11/12/2023 15:58,11/12/2023 16:02,100,278,TRUE,11/12/2023 16:02,R_1dFQOSPmrTvcbT3,33,Woman,Rural area,Employed,7,Over 6 hours,Most of the time,Most of the time,Most of the time,Most of the time,All the time,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Very often,Occasionally,Occasionally,Very often,Very often,Very often,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly
11/12/2023 16:14,11/12/2023 16:19,100,314,TRUE,11/12/2023 16:19,R_3dMter5Sw92ohfl,65 and over,Man,Suburb near a large city,Employed,2,4 hours,Most of the time,Most of the time,More than half of the time,More than half of the time,Less than half of the time,Often,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Often,Often,Often,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree a little,Neither agree nor disagree
11/12/2023 16:28,11/12/2023 16:33,100,270,TRUE,11/12/2023 16:33,R_2tsZw2n6NEAbCRG,29,Woman,Small city or town,Employed,2,Over 6 hours,More than half of the time,Most of the time,Most of the time,Less than half of the time,More than half of the time,Very often,Rarely,Occasionally,Never,Occasionally,Rarely,Often,Very often,Rarely,Occasionally,Often,Occasionally,Often,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly
11/12/2023 16:31,11/12/2023 16:39,100,480,TRUE,11/12/2023 16:39,R_3CUikfETdCaDace,47,Man,Small city or town,Business owner,2,Over 6 hours,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Occasionally,Rarely,Never,Never,Occasionally,Never,Often,Rarely,Rarely,Never,Occasionally,Often,Occasionally,Agree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little
11/12/2023 16:40,11/12/2023 16:47,100,449,TRUE,11/12/2023 16:47,R_DhGS422xhsqMj3r,58,Man,Suburb near a large city,Other,2,Over 6 hours,Some of the time,Some of the time,Some of the time,More than half of the time,Most of the time,Occasionally,Occasionally,Rarely,Never,Occasionally,Never,Occasionally,Often,Rarely,Rarely,Often,Often,Rarely,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little
11/12/2023 17:00,11/12/2023 17:06,100,360,TRUE,11/12/2023 17:06,R_1pxOmKgcQbhbHBF,45,Woman,Large city,Employed,2,5 hours,Some of the time,Most of the time,More than half of the time,Most of the time,Some of the time,Rarely,Never,Occasionally,Never,Never,Occasionally,Often,Often,Rarely,Occasionally,Very often,Occasionally,Very often,Agree a little,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree a little
11/12/2023 17:08,11/12/2023 17:13,100,329,TRUE,11/12/2023 17:13,R_3IatJFQ0NcnFZY1,31,Woman,Small city or town,Employed,3,Over 6 hours,Some of the time,Less than half of the time,Less than half of the time,At no time,Less than half of the time,Rarely,Often,Very often,Occasionally,Often,Occasionally,Often,Often,Rarely,Occasionally,Often,Occasionally,Often,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree a little
11/12/2023 17:11,11/12/2023 17:17,100,358,TRUE,11/12/2023 17:17,R_2UaZxzB1tplOu2W,65 and over,Man,Rural area,Retired,2,Over 6 hours,All the time,All the time,All the time,Most of the time,All the time,Never,Never,Never,Never,Never,Never,Never,Very often,Never,Never,Occasionally,Never,Often,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree a little
